File	Column_or_Item	Meaning	Calculation_or_Source	Notes
group_size_scan_recovery_summary.tsv	RecoveredScans	Reference scans recovered in at least one relevant partition.	Read from the accepted Individual- or Pairwise-recovery metric in the source recovery summary.	
group_size_scan_recovery_summary.tsv	UnrecoveredScans	Reference scans not recovered in any relevant partition.	Read from the accepted unrecovered metric and validated as TotalReferenceScans - RecoveredScans.	
group_size_scan_recovery_summary.tsv	RecoveredFraction	Fraction of reference scans recovered in at least one relevant partition.	Source recovery fraction, validated against RecoveredScans / TotalReferenceScans.	
group_size_scan_recovery_summary.tsv	UnrecoveredFraction	Fraction of reference scans unrecovered across all relevant partitions.	UnrecoveredScans / TotalReferenceScans.	
group_size_scan_recovery_summary.tsv	RecoveryPercent	RecoveredFraction expressed as a percentage.	RecoveredFraction × 100.	
group_size_scan_recovery_summary.tsv	LossPercent	UnrecoveredFraction expressed as a percentage.	UnrecoveredFraction × 100.	
main_partition_peptide_protein_gains.tsv	Dataset	Condition/environment name without the numeric run suffix.	Parsed from <Condition>_<integer>.	Examples: Fecal, Ocean, Soil.
main_partition_peptide_protein_gains.tsv	Run	Numbered Binning run represented by the row.	Top-level numbered run directory name discovered by the collator.	Example: Soil_1.
main_partition_peptide_protein_gains.tsv	PartitionStructure	Actual number and type of partitions present in the source analysis.	Counted directly from *_group_<N> or *_pair_<N>_<M> directories.	Examples: 9 groups, 36 pairs, 10 groups. This is not inferred from the recovery summary.
main_partition_peptide_protein_gains.tsv	DownstreamRoot	Project-relative downstream directory used for the row.	Recorded from the resolved Group_Downstream or Pairwise_Downstream path.	Relative to the selected Binning data root when possible.
main_partition_peptide_protein_gains.tsv	CorrectedPeptides	Distinct peptide-sequence count from the corresponding partitioned/corrected downstream output.	Distinct non-empty Peptide values in protein_rollup/peptide_crosstab_annotated.tsv.	Repeated peptide-to-protein mapping rows do not increase this count.
main_partition_peptide_protein_gains.tsv	CorrectedPeptideFlanked	Distinct flanked-peptide identifier count from the corresponding partitioned/corrected downstream output.	Distinct non-empty PeptideFlanked values in protein_rollup/peptide_crosstab_annotated.tsv.	Retained as a QC metric.
main_partition_peptide_protein_gains.tsv	CorrectedProteins	Distinct protein identifier count from the corresponding partitioned/corrected downstream output.	Distinct non-empty Protein values in protein_rollup/protein_crosstab_annotated.tsv.	
main_partition_peptide_protein_gains.tsv	BaselinePeptides	Distinct peptide-sequence count from the corresponding full-database analysis.	Distinct non-empty Peptide values in <Condition>_Full/peptide_crosstab_annotated.tsv.	Repeated peptide-to-protein mapping rows do not increase this count.
main_partition_peptide_protein_gains.tsv	BaselinePeptideFlanked	Distinct flanked-peptide identifier count from the corresponding full-database analysis.	Distinct non-empty PeptideFlanked values in <Condition>_Full/peptide_crosstab_annotated.tsv.	Retained as a QC metric; distinct Peptide is the production peptide count.
main_partition_peptide_protein_gains.tsv	BaselineProteins	Distinct protein identifier count from the corresponding full-database analysis.	Distinct non-empty Protein values in <Condition>_Full/protein_crosstab_annotated.tsv.	
main_partition_peptide_protein_gains.tsv	PeptideGain	Net distinct-peptide change relative to the full-database baseline.	CorrectedPeptides - BaselinePeptides.	Positive values indicate more distinct peptide sequences; negative values indicate fewer.
main_partition_peptide_protein_gains.tsv	PeptideFlankedGain	Net distinct flanked-peptide change relative to the full-database baseline.	CorrectedPeptideFlanked - BaselinePeptideFlanked.	QC metric.
main_partition_peptide_protein_gains.tsv	ProteinGain	Net distinct-protein change relative to the full-database baseline.	CorrectedProteins - BaselineProteins.	Positive values indicate more distinct proteins; negative values indicate fewer.
main_partition_peptide_protein_gains.tsv	PeptideSourceRows	Number of rows read from the annotated peptide crosstab.	len(peptide_crosstab_annotated.tsv).	Audit/QC only; not the peptide count.
main_partition_peptide_protein_gains.tsv	ProteinSourceRows	Number of rows read from the protein crosstab.	len(protein_crosstab_annotated.tsv).	Audit/QC only; not the protein count.
main_partition_peptide_protein_gains.tsv	PeptidePath	Exact annotated peptide crosstab source path used during collation.	Recorded by the collator.	Stored relative to the selected Binning data root when possible.
main_partition_peptide_protein_gains.tsv	ProteinPath	Exact protein crosstab source path used during collation.	Recorded by the collator.	Stored relative to the selected Binning data root when possible.
main_partition_peptide_protein_gains.tsv	BaselinePeptidePath	Exact full-database annotated peptide crosstab path used during collation.	Recorded by the collator.	Stored relative to the selected Binning data root when possible.
main_partition_peptide_protein_gains.tsv	BaselineProteinPath	Exact full-database protein crosstab path used during collation.	Recorded by the collator.	Stored relative to the selected Binning data root when possible.
group_size_peptide_protein_gains.tsv	Dataset	Condition/environment name without the numeric run suffix.	Parsed from <Condition>_<integer>.	Examples: Fecal, Ocean, Soil.
group_size_peptide_protein_gains.tsv	Run	Numbered Binning run represented by the row.	Top-level numbered run directory name discovered by the collator.	Example: Soil_1.
group_size_peptide_protein_gains.tsv	BinSize	Size-series label for the Individual-bin analysis; often a nominal peptide target such as 1.2M, but arbitrary labels are supported.	Parsed from <Condition>_Groups_<LABEL>.	Blank for the primary Individual/Pairwise comparison.
group_size_peptide_protein_gains.tsv	PartitionStructure	Actual number and type of partitions present in the source analysis.	Counted directly from *_group_<N> or *_pair_<N>_<M> directories.	Examples: 9 groups, 36 pairs, 10 groups. This is not inferred from the recovery summary.
group_size_peptide_protein_gains.tsv	DownstreamRoot	Project-relative downstream directory used for the row.	Recorded from the resolved Group_Downstream or Pairwise_Downstream path.	Relative to the selected Binning data root when possible.
group_size_peptide_protein_gains.tsv	CorrectedPeptides	Distinct peptide-sequence count from the corresponding partitioned/corrected downstream output.	Distinct non-empty Peptide values in protein_rollup/peptide_crosstab_annotated.tsv.	Repeated peptide-to-protein mapping rows do not increase this count.
group_size_peptide_protein_gains.tsv	CorrectedPeptideFlanked	Distinct flanked-peptide identifier count from the corresponding partitioned/corrected downstream output.	Distinct non-empty PeptideFlanked values in protein_rollup/peptide_crosstab_annotated.tsv.	Retained as a QC metric.
group_size_peptide_protein_gains.tsv	CorrectedProteins	Distinct protein identifier count from the corresponding partitioned/corrected downstream output.	Distinct non-empty Protein values in protein_rollup/protein_crosstab_annotated.tsv.	
group_size_peptide_protein_gains.tsv	BaselinePeptides	Distinct peptide-sequence count from the corresponding full-database analysis.	Distinct non-empty Peptide values in <Condition>_Full/peptide_crosstab_annotated.tsv.	Repeated peptide-to-protein mapping rows do not increase this count.
group_size_peptide_protein_gains.tsv	BaselinePeptideFlanked	Distinct flanked-peptide identifier count from the corresponding full-database analysis.	Distinct non-empty PeptideFlanked values in <Condition>_Full/peptide_crosstab_annotated.tsv.	Retained as a QC metric; distinct Peptide is the production peptide count.
group_size_peptide_protein_gains.tsv	BaselineProteins	Distinct protein identifier count from the corresponding full-database analysis.	Distinct non-empty Protein values in <Condition>_Full/protein_crosstab_annotated.tsv.	
group_size_peptide_protein_gains.tsv	PeptideGain	Net distinct-peptide change relative to the full-database baseline.	CorrectedPeptides - BaselinePeptides.	Positive values indicate more distinct peptide sequences; negative values indicate fewer.
group_size_peptide_protein_gains.tsv	PeptideFlankedGain	Net distinct flanked-peptide change relative to the full-database baseline.	CorrectedPeptideFlanked - BaselinePeptideFlanked.	QC metric.
group_size_peptide_protein_gains.tsv	ProteinGain	Net distinct-protein change relative to the full-database baseline.	CorrectedProteins - BaselineProteins.	Positive values indicate more distinct proteins; negative values indicate fewer.
group_size_peptide_protein_gains.tsv	PeptideSourceRows	Number of rows read from the annotated peptide crosstab.	len(peptide_crosstab_annotated.tsv).	Audit/QC only; not the peptide count.
group_size_peptide_protein_gains.tsv	ProteinSourceRows	Number of rows read from the protein crosstab.	len(protein_crosstab_annotated.tsv).	Audit/QC only; not the protein count.
group_size_peptide_protein_gains.tsv	PeptidePath	Exact annotated peptide crosstab source path used during collation.	Recorded by the collator.	Stored relative to the selected Binning data root when possible.
group_size_peptide_protein_gains.tsv	ProteinPath	Exact protein crosstab source path used during collation.	Recorded by the collator.	Stored relative to the selected Binning data root when possible.
group_size_peptide_protein_gains.tsv	BaselinePeptidePath	Exact full-database annotated peptide crosstab path used during collation.	Recorded by the collator.	Stored relative to the selected Binning data root when possible.
group_size_peptide_protein_gains.tsv	BaselineProteinPath	Exact full-database protein crosstab path used during collation.	Recorded by the collator.	Stored relative to the selected Binning data root when possible.
input_manifest.tsv	Run	Numbered run associated with the manifest entry.	Numbered run being collated.	
input_manifest.tsv	Category	Type of source represented by the entry.	Generated as baseline, recovery_input, or gain_input.	
input_manifest.tsv	Analysis	Analysis label associated with the source.	Generated from the analysis/partition label.	
input_manifest.tsv	SourcePath	Source file used by the collator.	Recorded during collation.	Project-relative when possible.
input_manifest.tsv	CopiedPath	Destination path for copied provenance inputs, when applicable.	Populated for copied recovery summaries; blank for uncopied source files.	
input_manifest.tsv	ValidationStatus	Validation status assigned by the collator.	PASS for successfully read/validated inputs included in the manifest.	
input_manifest.tsv	Notes	Compact audit details for the input.	May include metric counts, source row counts, and distinct-identifier counts.	
main_partition_fdr_overall_summary.tsv	Dataset	Condition/environment name.	Generated from the corresponding numbered run.	
main_partition_fdr_overall_summary.tsv	PartitionStructure	Actual number/type of partitions represented by the analysis.	Counted from the source partition directories.	
main_partition_fdr_overall_summary.tsv	N	Number of finite audit rows included in the FDR analysis.	Rows remaining after optional shared-only filtering and numeric validation.	
main_partition_fdr_overall_summary.tsv	UniquePeptides	Distinct peptide identifiers represented in the analyzed audit rows, when an identifier column is available.	Distinct UnmodifiedPeptide or CorePeptide values.	
main_partition_fdr_overall_summary.tsv	BaseFDRMean	Mean full-database FDR.	Mean BaseFDR.	
main_partition_fdr_overall_summary.tsv	BaseFDRMedian	Median full-database FDR.	Median BaseFDR.	
main_partition_fdr_overall_summary.tsv	BinnedFDRMean	Mean partition-derived FDR statistic.	Mean BinnedFDRMedian.	
main_partition_fdr_overall_summary.tsv	BinnedFDRMedian	Median partition-derived FDR statistic.	Median BinnedFDRMedian.	
main_partition_fdr_overall_summary.tsv	DeltaFDRMean	Mean partition-minus-full FDR change.	Mean(BinnedFDRMedian - BaseFDR).	Negative values indicate lower partition-derived FDR.
main_partition_fdr_overall_summary.tsv	DeltaFDRMedian	Median partition-minus-full FDR change.	Median(BinnedFDRMedian - BaseFDR).	Negative values indicate lower partition-derived FDR.
main_partition_fdr_overall_summary.tsv	DeltaFDRQ05	5th percentile of partition-minus-full FDR change.	Quantile 0.05 of DeltaFDR.	
main_partition_fdr_overall_summary.tsv	DeltaFDRQ25	25th percentile of partition-minus-full FDR change.	Quantile 0.25 of DeltaFDR.	
main_partition_fdr_overall_summary.tsv	DeltaFDRQ75	75th percentile of partition-minus-full FDR change.	Quantile 0.75 of DeltaFDR.	
main_partition_fdr_overall_summary.tsv	DeltaFDRQ95	95th percentile of partition-minus-full FDR change.	Quantile 0.95 of DeltaFDR.	
main_partition_fdr_overall_summary.tsv	ImprovedCount	Rows with lower partition-derived FDR.	Count where DeltaFDR < 0.	
main_partition_fdr_overall_summary.tsv	UnchangedCount	Rows with effectively unchanged FDR.	Count where DeltaFDR is numerically close to 0.	Uses the collator's numerical tolerance.
main_partition_fdr_overall_summary.tsv	WorsenedCount	Rows with higher partition-derived FDR.	Count where DeltaFDR > 0.	
main_partition_fdr_overall_summary.tsv	ImprovedFraction	Fraction of analyzed rows with lower partition-derived FDR.	ImprovedCount / N.	
main_partition_fdr_overall_summary.tsv	WorsenedFraction	Fraction of analyzed rows with higher partition-derived FDR.	WorsenedCount / N.	
size_series_fdr_overall_summary.tsv	Dataset	Condition/environment name.	Generated from the corresponding numbered run.	
size_series_fdr_overall_summary.tsv	BinSize	Size-series label for the Individual-bin analysis; often a nominal peptide target such as 1.2M, but arbitrary labels are supported.	Parsed from <Condition>_Groups_<LABEL>.	Present only in size-series FDR outputs.
size_series_fdr_overall_summary.tsv	PartitionStructure	Actual number/type of partitions represented by the analysis.	Counted from the source partition directories.	
size_series_fdr_overall_summary.tsv	N	Number of finite audit rows included in the FDR analysis.	Rows remaining after optional shared-only filtering and numeric validation.	
size_series_fdr_overall_summary.tsv	UniquePeptides	Distinct peptide identifiers represented in the analyzed audit rows, when an identifier column is available.	Distinct UnmodifiedPeptide or CorePeptide values.	
size_series_fdr_overall_summary.tsv	BaseFDRMean	Mean full-database FDR.	Mean BaseFDR.	
size_series_fdr_overall_summary.tsv	BaseFDRMedian	Median full-database FDR.	Median BaseFDR.	
size_series_fdr_overall_summary.tsv	BinnedFDRMean	Mean partition-derived FDR statistic.	Mean BinnedFDRMedian.	
size_series_fdr_overall_summary.tsv	BinnedFDRMedian	Median partition-derived FDR statistic.	Median BinnedFDRMedian.	
size_series_fdr_overall_summary.tsv	DeltaFDRMean	Mean partition-minus-full FDR change.	Mean(BinnedFDRMedian - BaseFDR).	Negative values indicate lower partition-derived FDR.
size_series_fdr_overall_summary.tsv	DeltaFDRMedian	Median partition-minus-full FDR change.	Median(BinnedFDRMedian - BaseFDR).	Negative values indicate lower partition-derived FDR.
size_series_fdr_overall_summary.tsv	DeltaFDRQ05	5th percentile of partition-minus-full FDR change.	Quantile 0.05 of DeltaFDR.	
size_series_fdr_overall_summary.tsv	DeltaFDRQ25	25th percentile of partition-minus-full FDR change.	Quantile 0.25 of DeltaFDR.	
size_series_fdr_overall_summary.tsv	DeltaFDRQ75	75th percentile of partition-minus-full FDR change.	Quantile 0.75 of DeltaFDR.	
size_series_fdr_overall_summary.tsv	DeltaFDRQ95	95th percentile of partition-minus-full FDR change.	Quantile 0.95 of DeltaFDR.	
size_series_fdr_overall_summary.tsv	ImprovedCount	Rows with lower partition-derived FDR.	Count where DeltaFDR < 0.	
size_series_fdr_overall_summary.tsv	UnchangedCount	Rows with effectively unchanged FDR.	Count where DeltaFDR is numerically close to 0.	Uses the collator's numerical tolerance.
size_series_fdr_overall_summary.tsv	WorsenedCount	Rows with higher partition-derived FDR.	Count where DeltaFDR > 0.	
size_series_fdr_overall_summary.tsv	ImprovedFraction	Fraction of analyzed rows with lower partition-derived FDR.	ImprovedCount / N.	
size_series_fdr_overall_summary.tsv	WorsenedFraction	Fraction of analyzed rows with higher partition-derived FDR.	WorsenedCount / N.	
main_partition_fdr_interval_summary.tsv	Dataset	Condition/environment name.	Generated from the corresponding numbered run.	
main_partition_fdr_interval_summary.tsv	PartitionStructure	Actual number/type of partitions represented by the analysis.	Counted from the source partition directories.	
main_partition_fdr_interval_summary.tsv	BaseFDRInterval	Human-readable full-database FDR interval.	Built from FDR_INTERVAL_EDGES defined in collate_binning_results.py.	
main_partition_fdr_interval_summary.tsv	IntervalLeft	Lower numeric interval boundary.	Defined by FDR_INTERVAL_EDGES.	
main_partition_fdr_interval_summary.tsv	IntervalRight	Upper numeric interval boundary.	Defined by FDR_INTERVAL_EDGES.	
main_partition_fdr_interval_summary.tsv	IntervalMidpoint	Interval midpoint used for plotting/reporting.	(IntervalLeft + IntervalRight) / 2.	
main_partition_fdr_interval_summary.tsv	N	Number of finite audit rows included in the FDR analysis.	Rows remaining after optional shared-only filtering and numeric validation.	
main_partition_fdr_interval_summary.tsv	DeltaFDRMean	Mean partition-minus-full FDR change.	Mean(BinnedFDRMedian - BaseFDR).	Negative values indicate lower partition-derived FDR.
main_partition_fdr_interval_summary.tsv	DeltaFDRMedian	Median partition-minus-full FDR change.	Median(BinnedFDRMedian - BaseFDR).	Negative values indicate lower partition-derived FDR.
main_partition_fdr_interval_summary.tsv	DeltaFDRQ25	25th percentile of partition-minus-full FDR change.	Quantile 0.25 of DeltaFDR.	
main_partition_fdr_interval_summary.tsv	DeltaFDRQ75	75th percentile of partition-minus-full FDR change.	Quantile 0.75 of DeltaFDR.	
main_partition_fdr_interval_summary.tsv	ImprovedFraction	Fraction of analyzed rows with lower partition-derived FDR.	ImprovedCount / N.	
main_partition_fdr_interval_summary.tsv	WorsenedFraction	Fraction of analyzed rows with higher partition-derived FDR.	WorsenedCount / N.	
size_series_fdr_interval_summary.tsv	Dataset	Condition/environment name.	Generated from the corresponding numbered run.	
size_series_fdr_interval_summary.tsv	BinSize	Size-series label for the Individual-bin analysis; often a nominal peptide target such as 1.2M, but arbitrary labels are supported.	Parsed from <Condition>_Groups_<LABEL>.	Present only in size-series FDR outputs.
size_series_fdr_interval_summary.tsv	PartitionStructure	Actual number/type of partitions represented by the analysis.	Counted from the source partition directories.	
size_series_fdr_interval_summary.tsv	BaseFDRInterval	Human-readable full-database FDR interval.	Built from FDR_INTERVAL_EDGES defined in collate_binning_results.py.	
size_series_fdr_interval_summary.tsv	IntervalLeft	Lower numeric interval boundary.	Defined by FDR_INTERVAL_EDGES.	
size_series_fdr_interval_summary.tsv	IntervalRight	Upper numeric interval boundary.	Defined by FDR_INTERVAL_EDGES.	
size_series_fdr_interval_summary.tsv	IntervalMidpoint	Interval midpoint used for plotting/reporting.	(IntervalLeft + IntervalRight) / 2.	
size_series_fdr_interval_summary.tsv	N	Number of finite audit rows included in the FDR analysis.	Rows remaining after optional shared-only filtering and numeric validation.	
size_series_fdr_interval_summary.tsv	DeltaFDRMean	Mean partition-minus-full FDR change.	Mean(BinnedFDRMedian - BaseFDR).	Negative values indicate lower partition-derived FDR.
size_series_fdr_interval_summary.tsv	DeltaFDRMedian	Median partition-minus-full FDR change.	Median(BinnedFDRMedian - BaseFDR).	Negative values indicate lower partition-derived FDR.
size_series_fdr_interval_summary.tsv	DeltaFDRQ25	25th percentile of partition-minus-full FDR change.	Quantile 0.25 of DeltaFDR.	
